ts_code,name,benchmark,found_date,amount
561090.SH,A500增强ETF华安,中证A500指数收益率,20250618,0.0
159203.SZ,大盘成长ETF博时,国证大盘成长指数收益率,20250618,0.0
508080.SH,中金亦庄产业园REIT,,20250616,0.0
561770.SH,A100ETF博时,中证A100指数收益率,20250616,0.0
159245.SZ,港股通消费ETF富国,国证港股通消费主题指数收益率(使用估值汇率折算),20250611,0.0
562050.SH,药ETF华宝,中证制药指数收益率,20250611,0.0
159240.SZ,中证A500增强ETF天弘,中证A500指数收益率,20250605,0.0
159228.SZ,红利低波ETF长城,中证红利低波动100指数收益率,20250605,0.0
588670.SH,科创综指增强ETF嘉实,上证科创板综合指数收益率,20250605,0.0
588270.SH,科创200ETF易方达,上证科创板200指数收益率,20250605,0.0
512130.SH,全指现金流ETF鹏华,中证全指自由现金流指数收益率,20250605,0.0
589180.SH,科创新材料ETF汇添富,上证科创板新材料指数收益率,20250605,0.0
159205.SZ,创业板ETF东财,创业板指数收益率,20250604,0.0
159387.SZ,创业板新能源ETF国泰,创业板新能源指数收益率,20250528,0.0
159238.SZ,300ETF增强,沪深300指数收益率,20250528,0.0
589580.SH,科创综指ETF兴银,上证科创板综合价格指数收益率,20250527,0.0
159372.SZ,创业板50ETF万家,创业板50指数收益率,20250526,0.0
588710.SH,科创半导体设备ETF华泰柏瑞,上证科创板半导体材料设备主题指数收益率,20250526,0.0
520940.SH,港股通恒生ETF华安,恒指港股通指数收益率(经汇率调整),20250526,0.0
159210.SZ,港股通汽车ETF汇添富,中证港股通汽车产业主题指数收益率(经估值汇率调整后),20250522,0.0
561750.SH,A50ETF博时,中证A50指数收益率,20250522,0.0
159389.SZ,数字经济ETF嘉实,中证诚通国企数字经济指数收益率,20250522,0.0
159230.SZ,通用航空ETF华夏,国证通用航空产业指数收益率,20250521,0.0
563760.SH,全指现金流ETF中银,中证全指自由现金流指数收益率,20250521,0.0
159241.SZ,航空航天ETF天弘,国证航天航空行业指数收益率,20250521,0.0
589700.SH,科创成长ETF南方,上证科创板成长指数收益率,20250521,0.0
159233.SZ,自由现金流ETF平安,中证全指自由现金流指数收益率,20250521,0.0
159385.SZ,数字经济ETF富国,中证诚通国企数字经济指数收益率,20250521,0.0
588940.SH,科创50ETF富国,上证科创板50成份指数收益率,20250521,0.0
561220.SH,数字经济ETF工银,中证诚通国企数字经济指数收益率,20250521,0.0
159226.SZ,中证A500增强ETF国泰,中证A500指数收益率,20250520,0.0
159239.SZ,港股通汽车ETF富国,恒生港股通汽车主题指数收益率(使用估值汇率折算),20250519,0.0
588130.SH,科创医药ETF华夏,上证科创板生物医药指数收益率,20250514,0.0
563830.SH,全指现金流ETF博时,中证全指自由现金流指数收益率,20250514,0.0
159218.SZ,卫星ETF招商,中证卫星产业指数收益率,20250514,0.0
563770.SH,全指现金流ETF招商,中证全指自由现金流指数收益率,20250508,0.0
563550.SH,A500增强ETF摩根,中证A500指数收益率,20250508,0.0
563060.SH,央企50ETF易方达,中证国资央企50指数收益率,20250508,0.0
159229.SZ,自由现金流ETF广发,中证800自由现金流指数收益率,20250506,0.0
159392.SZ,航空ETF富国,国证通用航空产业指数收益率,20250430,0.0
159236.SZ,自由现金流ETF工银,中证全指自由现金流指数收益率,20250430,0.0
563680.SH,800现金流ETF汇添富,中证800自由现金流指数收益率,20250430,0.0
159227.SZ,航空航天ETF华夏,国证航天航空行业指数收益率,20250430,0.0
159221.SZ,现金流ETF嘉实,国证自由现金流指数收益率,20250430,0.0
563780.SH,现金流全指ETF方正富邦,中证全指自由现金流指数收益率,20250430,0.0
159220.SZ,港股通红利低波ETF华宝,经人民币汇率调整的标普港股通低波红利指数收益率,20250429,0.0
501227.SH,泓德红利优选LOF,中证红利指数收益率*90%+中国债券综合全价指数收益率*10%,20250429,0.0
561870.SH,自由现金流ETF全指,中证全指自由现金流指数收益率,20250429,0.0
159208.SZ,航空航天ETF万家,国证航天航空行业指数收益率,20250428,0.0
